Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS
Date,,,,,,
2010-01-08,338.7618408203125,367.0,378.0,320.0,329.3999938964844,529014
2010-01-11,351.0845947265625,380.3500061035156,396.45001220703125,365.8500061035156,367.45001220703125,369961
2010-01-12,341.20782470703125,369.6499938964844,386.6000061035156,365.3999938964844,383.3999938964844,109769
2010-01-13,338.8541259765625,367.1000061035156,379.0,351.1499938964844,368.8999938964844,98337
2010-01-14,336.4079895019531,364.45001220703125,379.0,361.5,369.5,39287
2010-01-15,399.2681884765625,432.54998779296875,437.3500061035156,366.1000061035156,366.1000061035156,1016459
2010-01-18,479.1587219238281,519.0999755859375,519.0999755859375,415.25,415.25,2742800
2010-01-19,564.1259765625,611.1500244140625,616.3499755859375,525.0,525.0,5642085
2010-01-20,564.7721557617188,611.8499755859375,658.0,595.8499755859375,619.0,5605926
2010-01-21,511.6503601074219,554.2999877929688,600.0,550.7000122070312,600.0,1928440
2010-01-22,562.833740234375,609.75,609.75,507.29998779296875,515.25,3376700
2010-01-25,564.9567260742188,612.0499877929688,645.25,605.5,630.0,3428331
2010-01-27,523.5115966796875,567.1500244140625,629.0,551.0999755859375,597.4000244140625,1678098
2010-01-28,535.83447265625,580.5,605.9000244140625,571.0,577.7000122070312,1816691
2010-01-29,550.1417236328125,596.0,607.6500244140625,552.5,568.7999877929688,1593015
2010-02-01,544.741943359375,590.1500244140625,614.9000244140625,578.0,589.7999877929688,1507669
2010-02-02,535.0036010742188,579.5999755859375,612.6500244140625,575.0,597.7999877929688,943512
2010-02-03,538.557373046875,583.4500122070312,601.0,580.2000122070312,590.0,619527
2010-02-04,524.8037719726562,568.5499877929688,600.4000244140625,562.0,585.0499877929688,822232
2010-02-05,494.2967834472656,535.5,554.0,532.5,551.75,431513
2010-02-06,497.52752685546875,539.0,549.9000244140625,535.0,544.8499755859375,88300
2010-02-08,487.3738708496094,528.0,553.2999877929688,523.1500244140625,544.6500244140625,376066
2010-02-09,536.1112670898438,580.7999877929688,580.7999877929688,506.1000061035156,529.75,1722200
2010-02-10,540.680419921875,585.75,615.0,577.3499755859375,592.2000122070312,2858082
2010-02-11,539.1112060546875,584.0499877929688,605.7999877929688,578.0,591.0999755859375,1530379
2010-02-15,534.8651733398438,579.4500122070312,599.0,573.6500244140625,590.0,539013
2010-02-16,537.1727905273438,581.9500122070312,591.0,573.0,585.0,546553
2010-02-17,533.942138671875,578.4500122070312,591.7999877929688,574.25,589.0,532894
2010-02-18,515.2501831054688,558.2000122070312,582.7999877929688,555.0,579.7999877929688,329459
2010-02-19,518.0193481445312,561.2000122070312,586.2000122070312,544.2000122070312,552.0999755859375,1234247
2010-02-22,493.3738098144531,534.5,572.7999877929688,518.0,572.0,626170
2010-02-23,492.0815124511719,533.0999755859375,557.0,520.0,532.5,708857
2010-02-24,485.5278015136719,526.0,538.0,507.0,507.0,368266
2010-02-25,486.681640625,527.25,541.7999877929688,523.0,531.0,423003
2010-02-26,487.4200744628906,528.0499877929688,553.7000122070312,521.0,529.0,701515
2010-03-02,491.94305419921875,532.9500122070312,541.6500244140625,529.0,537.0,269696
2010-03-03,495.7736511230469,537.0999755859375,548.0,533.0,537.5999755859375,363083
2010-03-04,495.7736511230469,537.0999755859375,546.5,535.0,538.0,221975
2010-03-05,489.2200012207031,530.0,544.0,528.0,541.2999877929688,208791
2010-03-08,489.0815734863281,529.8499755859375,543.7000122070312,527.2000122070312,530.0,189750
2010-03-09,467.8512878417969,506.8500061035156,533.0,503.6000061035156,532.9000244140625,224549
2010-03-10,470.4820251464844,509.70001220703125,520.0,492.0,506.8500061035156,443955
2010-03-11,458.4822082519531,496.70001220703125,514.0,494.0,513.0,144541
2010-03-12,447.5901184082031,484.8999938964844,506.3999938964844,482.25,499.0,286977
2010-03-15,424.1445007324219,459.5,480.0,445.5,445.5,377127
2010-03-16,411.8678894042969,446.20001220703125,463.29998779296875,442.04998779296875,450.5,287450
2010-03-17,489.8200378417969,530.6500244140625,535.4500122070312,446.3999938964844,452.0,3457158
2010-03-18,476.3895568847656,516.0999755859375,571.0,495.3500061035156,571.0,4846545
2010-03-19,486.3123779296875,526.8499755859375,542.7000122070312,450.0,450.0,2007349
2010-03-22,484.512451171875,524.9000244140625,540.9000244140625,511.0,519.9000244140625,1133622
2010-03-23,483.82012939453125,524.1500244140625,536.9500122070312,520.5999755859375,530.7000122070312,519647
2010-03-25,475.2818603515625,514.9000244140625,528.0,510.8500061035156,525.0,425722
2010-03-26,469.005126953125,508.1000061035156,527.7000122070312,505.04998779296875,518.7999877929688,411368
2010-03-29,451.2362365722656,488.8500061035156,515.4000244140625,484.0,508.0,432734
2010-03-30,489.3122863769531,530.0999755859375,561.0,490.29998779296875,496.0,4337159
2010-03-31,491.9891357421875,533.0,548.0,526.4000244140625,535.0,1904337
2010-04-01,493.7430725097656,534.9000244140625,543.5,531.1500244140625,539.0,861282
2010-04-05,497.3430480957031,538.7999877929688,555.0,531.2000122070312,540.0,1069517
2010-04-06,498.4505615234375,540.0,549.7999877929688,531.0,540.0,1060469
2010-04-07,495.6814880371094,537.0,548.7000122070312,534.0,540.5,520668
2010-04-08,485.943115234375,526.4500122070312,539.0999755859375,522.2999877929688,539.0999755859375,225664
2010-04-09,481.5125427246094,521.6500244140625,536.7999877929688,519.5,521.0999755859375,222395
2010-04-12,489.5892028808594,530.4000244140625,535.7000122070312,516.5499877929688,528.9000244140625,403341
2010-04-13,477.91265869140625,517.75,532.9000244140625,515.0,529.4000244140625,303989
2010-04-15,477.5894775390625,517.4000244140625,531.9000244140625,514.0,525.0,332203
2010-04-16,472.23577880859375,511.6000061035156,522.9500122070312,508.5,518.0,212385
2010-04-19,458.8514404296875,497.1000061035156,511.70001220703125,495.1499938964844,504.8999938964844,296311
2010-04-20,487.1431884765625,527.75,541.4000244140625,502.0,504.70001220703125,1311976
2010-04-21,479.89715576171875,519.9000244140625,532.75,516.0,529.7000122070312,457831
2010-04-22,476.8510437011719,516.5999755859375,526.7000122070312,513.0999755859375,519.0,357744
2010-04-23,472.3280944824219,511.70001220703125,522.5,509.0,519.9000244140625,167257
2010-04-26,473.9434509277344,513.4500122070312,522.1500244140625,511.70001220703125,513.0,267828
2010-04-27,470.52813720703125,509.75,520.0,507.70001220703125,513.0,214962
