Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS
Date,,,,,,
2007-04-23,143.84136962890625,162.00999450683594,172.5,150.8000030517578,165.0,59320
2007-04-24,145.6392364501953,164.03500366210938,165.0,160.89999389648438,161.5,8380
2007-04-25,144.31190490722656,162.5399932861328,164.0,162.0850067138672,164.0,1340
2007-04-26,144.7425079345703,163.02499389648438,174.0,162.30499267578125,165.02000427246094,48170
2007-04-27,145.23085021972656,163.5749969482422,165.6999969482422,162.40499877929688,163.11500549316406,7600
2007-04-30,145.4306182861328,163.8000030517578,163.8000030517578,162.0,163.0,5130
2007-05-03,147.1796875,165.77000427246094,171.0,165.1999969482422,170.0,750
2007-05-04,149.88316345214844,168.81500244140625,172.5,168.10499572753906,169.5,2100
2007-05-07,153.0306396484375,172.36000061035156,172.5,167.8000030517578,169.6999969482422,55130
2007-05-08,162.3753204345703,182.88499450683594,185.0,174.59500122070312,174.6999969482422,13590
2007-05-09,158.29119873046875,178.28500366210938,187.39999389648438,177.5,183.0,1940
2007-05-10,160.75054931640625,181.05499267578125,183.0,177.5,180.0,7290
2007-05-11,166.41502380371094,187.43499755859375,187.8000030517578,173.11500549316406,184.89999389648438,9870
2007-05-14,168.6790771484375,189.98500061035156,192.0,188.5,190.0,5670
2007-05-15,165.60711669921875,186.52499389648438,189.0,185.2050018310547,189.0,380
2007-05-16,170.08187866210938,191.56500244140625,195.0,179.5050048828125,189.9949951171875,9140
2007-05-17,168.04428100585938,189.27000427246094,192.99000549316406,189.0,190.0,2250
2007-05-18,165.4340057373047,186.3300018310547,190.0,186.0,189.0,990
2007-05-21,170.97860717773438,192.5749969482422,192.8000030517578,185.5050048828125,185.5050048828125,8090
2007-05-22,170.9120330810547,192.5,192.5,187.60499572753906,187.60499572753906,1880
2007-05-23,171.0363311767578,192.63999938964844,198.0,191.0,193.13999938964844,3000
2007-05-24,174.28590393066406,196.3000030517578,197.0,189.60000610351562,194.0,4720
2007-05-25,172.94522094726562,194.7899932861328,195.0,190.5050048828125,190.5050048828125,3100
2007-05-28,170.46815490722656,192.0,197.39999389648438,192.0,195.0,270
2007-05-29,171.0674285888672,192.6750030517578,194.39999389648438,192.13499450683594,192.13499450683594,700
2007-05-30,176.68312072753906,199.0,202.0,196.99000549316406,196.99000549316406,600
2007-05-31,177.47328186035156,199.88999938964844,200.0,192.11500549316406,196.0,2060
2007-06-01,178.72958374023438,201.30499267578125,202.5,195.5,199.0,3880
2007-06-04,175.7952423095703,198.0,204.0,198.0,204.0,3060
2007-06-05,172.4036407470703,194.17999267578125,199.5,190.5,199.4949951171875,7860
2007-06-06,166.40171813964844,187.4199981689453,203.8699951171875,186.0,201.89500427246094,7090
2007-06-07,162.90357971191406,183.47999572753906,189.18499755859375,182.61000061035156,185.89999389648438,2060
2007-06-08,163.13885498046875,183.7449951171875,190.0,181.0,181.0,2340
2007-06-11,163.0101318359375,183.60000610351562,183.60000610351562,181.03500366210938,181.03500366210938,250
2007-06-12,159.81385803222656,180.0,183.39999389648438,178.13499450683594,178.13499450683594,510
2007-06-13,156.27574157714844,176.01499938964844,179.5,176.0,179.5,830
2007-06-14,159.4498291015625,179.58999633789062,180.0,176.5,179.88999938964844,3350
2007-06-15,162.57952880859375,183.11500549316406,184.99000549316406,177.0,177.9499969482422,5400
2007-06-18,159.8538055419922,180.0449981689453,184.89999389648438,180.0,184.89999389648438,990
2007-06-19,161.6783447265625,182.10000610351562,182.10000610351562,179.5,179.5,250
