entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14,dltp,daylowerband,daymiddleband,weeklowerband,weekmiddleband,monthlowerband,monthmiddleband
12/01/2025,^NSEI,"NIFTY 50
",51.51,50.15,66.24,24131.4,23311.63,24176.25,23128.13,24558.44,18024.96,22303.37
12/01/2025,^CNXAUTO,"NIFTY AUTO
",57.06,49.37,84.84,23819.35,22391.64,23342.42,21657.68,24517.84,7336.23,12766.2
12/01/2025,^NSEBANK,"NIFTY BANK
",45.84,51.24,63.59,51487.6,50131.68,52339.04,49612.13,51757.43,41854.23,48322.39
12/01/2025,^CNXFMCG,"NIFTY FMCG
",55.59,46.11,84.78,57533.6,55594.1,56650.65,53126.8,59894.67,31996.99,42568.76
12/01/2025,^CNXIT,"NIFTY IT
",52.36,60.73,69.02,44233.7,42984.5,44614.83,40565.02,42922.54,26588.41,36473.37
12/01/2025,^CNXMETAL,"NIFTY METAL
",35.38,42.76,71.94,8706.45,8468.66,9093.78,8394.42,9269.4,4314.51,5937.86
12/01/2025,^CNXPHARMA,"NIFTY PHARMA
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/01/2025,^CNXREALTY,"NIFTY REALTY
",42.86,51.89,84.86,1041.65,1040.13,1081.19,954.77,1039.4,199.29,469.0
12/01/2025,^CNXMEDIA,"NIFTY MEDIA
",31.89,40.62,46.95,1829.3,1767.63,1943.07,1793.03,1988.33,1621.12,2002.67
12/01/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,58.68,52.79,84.63,11629.1,11218.67,11476.33,10760.77,11825.47,5474.06,7521.13
