entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14,dltp,daylowerband,daymiddleband,weeklowerband,weekmiddleband,monthlowerband,monthmiddleband
23/01/2025,^NSEI,ADANIPORTS.NS,38.44,36.39,49.61,1102.25,1063.52,1164.32,1051.88,1287.56,612.88,1163.94
23/01/2025,^NSEI,APOLLOHOSP.NS,42.7,49.79,62.73,6892.9,6577.91,7089.67,6693.99,7057.27,4517.87,6092.13
23/01/2025,^NSEI,ASIANPAINT.NS,41.37,24.81,35.78,2262.1,2207.86,2282.71,1917.73,2687.54,2327.45,2973.71
23/01/2025,^NSEI,AXISBANK.NS,21.61,29.04,44.96,959.3,970.01,1045.74,982.43,1139.02,910.59,1089.33
23/01/2025,^NSEI,BAJAJ-AUTO.NS,34.1,35.76,56.06,8460.85,8390.27,8723.49,7349.01,9933.0,3609.08,7937.42
23/01/2025,^NSEI,BAJFINANCE.NS,58.43,56.65,54.78,7397.15,6792.58,7201.24,6425.42,7097.61,6421.79,7105.66
23/01/2025,^NSEI,BPCL.NS,43.84,39.91,53.55,277.6,261.74,282.68,257.8,308.85,140.93,267.94
23/01/2025,^NSEI,BHARTIARTL.NS,56.91,56.82,76.78,1631.75,1575.2,1607.06,1531.79,1632.39,682.58,1271.2
23/01/2025,^NSEI,BRITANNIA.NS,58.21,41.15,50.61,4956.7,4728.78,4848.5,4208.38,5363.58,4133.49,5115.62
23/01/2025,^NSEI,CIPLA.NS,39.11,42.91,57.36,1439.4,1409.82,1479.97,1388.47,1533.4,1046.61,1392.8
23/01/2025,^NSEI,COALINDIA.NS,43.74,35.59,51.86,379.2,364.62,380.14,340.07,433.9,208.64,395.13
23/01/2025,^NSEI,DIVISLAB.NS,44.9,56.6,69.64,5812.5,5703.85,5925.26,5391.02,5841.8,2513.07,4432.55
23/01/2025,^NSEI,DRREDDY.NS,42.7,49.66,57.02,1296.25,1284.48,1345.71,1199.2,1301.13,1018.45,1223.9
23/01/2025,^NSEI,EICHERMOT.NS,51.43,54.65,69.71,5009.7,4740.55,5037.8,4577.61,4891.11,2997.05,4261.39
23/01/2025,^NSEI,GRASIM.NS,42.85,41.08,57.27,2388.15,2280.1,2414.16,2335.17,2603.34,1606.13,2287.38
23/01/2025,^NSEI,HCLTECH.NS,42.11,52.06,66.65,1827.7,1756.03,1891.85,1726.77,1858.05,1018.92,1513.97
23/01/2025,^NSEI,HDFCBANK.NS,39.32,46.82,53.58,1666.05,1581.98,1703.86,1600.03,1731.3,1384.17,1609.98
23/01/2025,^NSEI,HDFCLIFE.NS,46.34,40.92,48.62,618.2,593.52,618.1,587.2,675.51,538.92,642.09
23/01/2025,^NSEI,HEROMOTOCO.NS,33.43,29.16,48.95,4055.7,3996.1,4148.47,3641.71,4860.21,2523.85,4338.52
23/01/2025,^NSEI,HINDALCO.NS,50.96,44.0,54.15,613.45,564.49,597.71,559.88,664.38,395.7,589.1
23/01/2025,^NSEI,HINDUNILVR.NS,41.76,38.54,45.33,2342.95,2294.29,2370.39,2125.82,2561.2,2160.94,2511.5
23/01/2025,^NSEI,ICICIBANK.NS,31.39,43.97,63.47,1200.45,1196.48,1257.61,1197.16,1273.71,841.34,1106.33
23/01/2025,^NSEI,INDUSINDBK.NS,48.58,30.95,34.14,970.95,933.89,966.78,723.57,1119.55,979.51,1369.65
23/01/2025,^NSEI,INFY.NS,42.89,50.77,60.37,1856.45,1808.74,1907.08,1787.07,1895.28,1197.09,1609.73
23/01/2025,^NSEI,ITC.NS,35.34,36.21,52.31,437.0,414.64,454.87,434.01,479.28,395.41,454.62
23/01/2025,^NSEI,JSWSTEEL.NS,49.03,46.8,58.32,919.4,887.48,907.1,883.27,962.22,715.13,868.58
23/01/2025,^NSEI,KOTAKBANK.NS,64.76,60.21,56.14,1917.5,1687.94,1797.22,1681.39,1800.52,1638.22,1782.5
23/01/2025,^NSEI,LT.NS,41.87,46.56,62.41,3518.2,3442.86,3576.46,3361.18,3620.45,2589.33,3382.44
23/01/2025,^NSEI,LTIM.NS,47.29,49.16,55.31,5849.9,5546.21,5803.88,5537.38,6074.92,4491.44,5462.14
23/01/2025,^NSEI,M&M.NS,35.69,48.58,67.38,2826.45,2814.36,3024.1,2701.98,2971.34,986.0,2213.25
23/01/2025,^NSEI,MARUTI.NS,61.36,53.22,57.61,12020.35,10769.22,11624.39,10325.42,11756.4,9097.39,11332.0
23/01/2025,^NSEI,NESTLEIND.NS,49.26,39.7,47.31,2207.8,2142.08,2201.49,1985.81,2334.81,2081.98,2408.01
23/01/2025,^NSEI,NTPC.NS,43.22,37.31,54.52,322.4,305.31,326.02,297.27,377.06,179.42,323.7
23/01/2025,^NSEI,ONGC.NS,55.81,47.89,57.72,264.05,231.71,255.48,230.65,266.91,144.35,244.23
23/01/2025,^NSEI,POWERGRID.NS,40.21,40.77,59.93,297.55,289.84,304.15,293.91,323.48,159.75,273.96
23/01/2025,^NSEI,RELIANCE.NS,54.5,42.64,48.67,1277.1,1193.81,1247.74,1150.85,1323.07,1078.12,1344.86
23/01/2025,^NSEI,SBILIFE.NS,48.62,41.79,51.5,1460.05,1375.42,1456.05,1267.06,1587.46,1146.12,1477.49
23/01/2025,^NSEI,SBIN.NS,38.96,41.19,56.53,753.45,730.18,773.33,741.71,804.38,502.96,722.76
23/01/2025,^NSEI,SUNPHARMA.NS,48.66,53.61,67.17,1798.95,1725.58,1820.22,1738.89,1838.58,913.02,1496.08
23/01/2025,^NSEI,TCS.NS,48.65,48.76,57.47,4156.6,3994.8,4144.32,3949.18,4219.59,3136.56,3857.01
23/01/2025,^NSEI,TATACONSUM.NS,57.66,42.99,50.12,967.4,897.87,944.95,809.66,1015.0,777.64,1022.96
23/01/2025,^NSEI,TATAMOTORS.NS,41.01,35.94,49.15,742.75,729.07,765.3,670.37,838.09,495.2,834.0
23/01/2025,^NSEI,TATASTEEL.NS,38.53,35.12,46.86,128.92,122.62,132.39,124.46,146.26,106.78,142.94
23/01/2025,^NSEI,TECHM.NS,48.97,54.88,68.45,1683.95,1630.46,1683.87,1582.52,1685.18,964.81,1377.75
23/01/2025,^NSEI,TITAN.NS,47.89,47.25,55.06,3356.45,3215.47,3370.96,3054.95,3432.24,2910.74,3399.67
23/01/2025,^NSEI,ULTRACEMCO.NS,37.7,44.53,59.36,10693.75,10203.1,11104.3,10469.18,11329.32,7572.36,10091.87
23/01/2025,^NSEI,UPL.NS,53.38,48.84,45.77,542.7,490.84,530.14,493.67,554.55,450.79,559.71
23/01/2025,^NSEI,WIPRO.NS,59.17,61.59,70.48,309.1,284.07,297.6,256.39,285.93,172.02,243.01
23/01/2025,^CNXAUTO,MARUTI.NS,61.36,53.22,57.61,12020.35,10769.22,11624.39,10325.42,11756.4,9097.39,11332.0
23/01/2025,^CNXAUTO,M&M.NS,35.69,48.58,67.38,2826.45,2814.36,3024.1,2701.98,2971.34,986.0,2213.25
23/01/2025,^CNXAUTO,HEROMOTOCO.NS,33.43,29.16,48.95,4055.7,3996.1,4148.47,3641.71,4860.21,2523.85,4338.52
23/01/2025,^CNXAUTO,EICHERMOT.NS,51.43,54.65,69.71,5009.7,4740.55,5037.8,4577.61,4891.11,2997.05,4261.39
