Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS
Date,,,,,,
2002-07-01,45.83830261230469,66.8499984741211,72.5,66.0,70.4000015258789,1902818
2002-08-01,46.83253860473633,68.30000305175781,69.75,63.5,67.5,714400
2002-09-01,45.22118377685547,65.94999694824219,69.3499984741211,65.25,68.5,626578
2002-10-01,42.54698181152344,62.04999923706055,67.5,61.775001525878906,65.0,1102856
2002-11-01,44.226924896240234,64.5,66.9000015258789,59.0,61.724998474121094,836814
2002-12-01,46.23256301879883,67.42500305175781,69.19999694824219,64.0,64.9749984741211,1814146
2003-01-01,46.249698638916016,67.44999694824219,68.44999694824219,65.125,66.82499694824219,1553488
2003-02-01,45.426883697509766,66.25,68.5,62.79999923706055,67.2249984741211,1189960
2003-03-01,41.74131393432617,60.875,66.25,59.0,66.0,1025800
2003-04-01,44.48405838012695,64.875,65.69999694824219,60.150001525878906,62.45000076293945,1333454
2003-05-01,45.426883697509766,66.25,75.0,62.599998474121094,64.875,2258992
2003-06-01,47.19252395629883,68.82499694824219,77.0,66.0,66.55000305175781,5824468
2003-07-01,50.192413330078125,73.19999694824219,77.42500305175781,67.5,68.82499694824219,8178134
2003-08-01,50.24385070800781,73.2750015258789,80.92500305175781,72.5,73.0250015258789,6994892
2003-09-01,48.46107482910156,70.67500305175781,76.75,66.5,73.94999694824219,4144592
2003-10-01,47.209693908691406,68.8499984741211,75.25,67.8499984741211,70.625,4006882
2003-11-01,47.68965530395508,69.55000305175781,72.80000305175781,66.7750015258789,68.69999694824219,4936090
2003-12-01,54.752254486083984,79.8499984741211,82.375,69.5,69.57499694824219,14624220
2004-01-01,51.16952896118164,74.625,87.5250015258789,72.125,80.75,9101460
2004-02-01,49.112464904785156,71.625,80.0,70.0250015258789,74.625,3646354
2004-03-01,44.74119186401367,65.25,72.44999694824219,61.25,72.0,3993224
2004-04-01,43.93550109863281,64.07499694824219,70.5,63.599998474121094,66.5,1896408
2004-05-01,41.55274200439453,60.599998474121094,66.0,55.0,64.17500305175781,2830852
2004-06-01,43.438385009765625,63.349998474121094,64.0,51.07500076293945,60.0,2547700
2004-07-01,50.43242263793945,73.55000305175781,76.05000305175781,61.599998474121094,64.0,5350060
2004-08-01,48.73533248901367,71.07499694824219,75.69999694824219,66.1500015258789,71.55000305175781,2022112
2004-09-01,51.44378662109375,75.0250015258789,76.9000015258789,69.0999984741211,72.94999694824219,5615630
2004-10-01,50.020999908447266,72.94999694824219,78.5999984741211,70.30000305175781,74.25,2213480
2004-11-01,59.43205642700195,86.67500305175781,89.25,72.05000305175781,72.6500015258789,6701388
2004-12-01,61.40342330932617,89.55000305175781,94.5,83.80000305175781,86.67500305175781,6297822
2005-01-01,63.85476303100586,93.125,93.5,82.0250015258789,89.5999984741211,3739762
2005-02-01,63.820499420166016,93.07499694824219,107.5,90.5250015258789,93.44999694824219,4020840
2005-03-01,62.41484451293945,91.0250015258789,96.25,84.32499694824219,93.5,2643460
2005-04-01,68.67173767089844,100.1500015258789,104.19999694824219,89.05000305175781,91.0250015258789,4914908
2005-05-01,74.70582580566406,108.94999694824219,112.5,96.80000305175781,100.5,10423042
2005-06-01,83.73977661132812,122.125,123.07499694824219,108.5,109.5,14019500
2005-07-01,77.20857238769531,112.5999984741211,128.4499969482422,111.0250015258789,121.57499694824219,6801802
2005-08-01,84.9739990234375,123.92500305175781,133.5,112.8499984741211,112.8499984741211,9441084
2005-09-01,85.8653793334961,125.2249984741211,132.0,118.125,122.0,9872936
2005-10-01,81.47695922851562,118.82499694824219,132.39999389648438,112.5,125.0,6123976
2005-11-01,90.01380157470703,131.27499389648438,138.75,117.0,122.5,6197976
2005-12-01,92.27655792236328,134.5749969482422,141.25,129.0,132.5,7961652
2006-01-01,117.287109375,171.0500030517578,177.85000610351562,134.52499389648438,135.25,27840532
2006-02-01,133.00648498535156,193.97500610351562,202.4499969482422,170.27499389648438,171.9499969482422,50297994
2006-03-01,148.16021728515625,216.0749969482422,218.89999389648438,170.0,193.89999389648438,18994750
2006-04-01,149.2916259765625,217.72500610351562,238.14999389648438,190.5,216.5,16600572
2006-05-01,125.51531982421875,183.0500030517578,234.0,142.10000610351562,217.72500610351562,16973046
2006-06-01,133.55502319335938,194.77499389648438,199.9499969482422,138.0,180.0,8701598
2006-07-01,126.66387939453125,184.72500610351562,211.0,177.5500030517578,199.0,11437090
2006-08-01,124.00680541992188,180.85000610351562,192.5,168.0500030517578,184.97500610351562,10971636
2006-09-01,125.96105194091797,183.6999969482422,194.5,177.5500030517578,181.0,11082278
2006-10-01,142.40042114257812,207.6750030517578,211.0,183.27499389648438,183.6999969482422,11865554
2006-11-01,130.24656677246094,189.9499969482422,214.75,186.77499389648438,208.875,14596512
2006-12-01,133.19503784179688,194.25,202.4499969482422,173.0500030517578,191.0,8165070
2007-01-01,119.92694854736328,174.89999389648438,202.25,173.25,194.25,8602204
2007-02-01,110.4987564086914,161.14999389648438,180.0,148.0,175.0,5831496
2007-03-01,114.06434631347656,166.35000610351562,170.9499969482422,145.5,161.14999389648438,5487826
2007-04-01,117.9041748046875,171.9499969482422,180.0,150.60000610351562,164.9499969482422,4868158
2007-05-01,124.45247650146484,181.5,202.4499969482422,171.9499969482422,171.9499969482422,13661736
2007-06-01,126.8181381225586,184.9499969482422,190.5,175.0,183.39999389648438,5801192
2007-07-01,141.04620361328125,205.6999969482422,208.0,180.0500030517578,186.75,16624344
2007-08-01,133.56842041015625,193.75,208.5,172.75,204.5,9741742
2007-09-01,138.3940887451172,200.75,206.0,192.75,195.0,8544132
2007-10-01,132.15516662597656,191.6999969482422,217.5,182.5,201.0,11862768
2007-11-01,131.70704650878906,191.0500030517578,209.39999389648438,182.5,194.25,11655928
2007-12-01,140.10032653808594,203.22500610351562,220.0,191.0500030517578,191.0500030517578,4047462
2008-01-01,144.5985565185547,209.75,262.45001220703125,187.52499389648438,203.75,7710850
2008-02-01,128.3980712890625,186.25,215.0,180.0,207.5,2555710
2008-03-01,131.87937927246094,191.3000030517578,210.0,182.5,185.5,3145330
2008-04-01,141.9272003173828,205.875,218.5,190.02499389648438,191.5,4515884
2008-05-01,143.40931701660156,208.02499389648438,229.89999389648438,200.5,205.875,4758298
2008-06-01,122.40034484863281,177.5500030517578,210.875,175.0,210.4499969482422,3857308
2008-07-01,141.2722930908203,204.9250030517578,228.5500030517578,171.14999389648438,176.02499389648438,3163482
2008-08-01,143.88665771484375,204.77499389648438,223.85000610351562,195.0,197.5,2410710
2008-09-01,142.12994384765625,202.27499389648438,212.4499969482422,176.1750030517578,205.4499969482422,3863230
2008-10-01,133.36434936523438,189.8000030517578,222.5,175.0,202.5,4633574
2008-11-01,135.94662475585938,193.47500610351562,200.5,178.1750030517578,195.9499969482422,2859256
2008-12-01,142.63943481445312,203.0,206.8000030517578,189.0,194.5,2025010
2009-01-01,152.5578155517578,212.125,216.85000610351562,190.0,203.5,2527150
2009-02-01,167.3191375732422,232.64999389648438,236.0,206.5,212.0,4804558
2009-03-01,169.4407501220703,235.60000610351562,241.0,209.9499969482422,230.0,5859952
2009-04-01,172.2455596923828,239.5,246.39999389648438,186.97500610351562,189.5,5280340
2009-05-01,172.71165466308594,236.9250030517578,249.0,196.0,239.5,6313576
2009-06-01,220.5322265625,302.5249938964844,304.95001220703125,230.0500030517578,240.5,7405580
2009-07-01,243.1486053466797,333.54998779296875,343.4750061035156,300.57501220703125,305.5,9436478
2009-08-01,221.18838500976562,303.42498779296875,341.0,283.5,335.0,5102992
2009-09-01,233.69618225097656,316.3500061035156,324.45001220703125,302.54998779296875,305.9750061035156,5534688
